t,o,h,l,c
1766570400,210.648,210.76,210.59,210.706
1766574000,210.707,210.711,210.598,210.656
1766577600,210.657,210.657,210.543,210.646
1766581200,210.648,210.699,210.581,210.618
1766584800,210.618,210.709,210.06,210.14
1766588400,210.132,210.502,210.059,210.392
1766592000,210.392,210.492,210.296,210.34
1766595600,210.336,210.574,210.336,210.448
1766599200,210.448,210.569,210.41,210.51
1766602800,210.508,210.518,210.332,210.418
1766606400,210.419,210.512,210.387,210.48
1766610000,210.481,210.643,210.445,210.632
1766700000,210.839,210.857,210.638,210.692
1766703600,210.688,210.909,210.349,210.875
1766707200,210.878,211.418,210.872,211.312
1766710800,211.316,211.364,211.149,211.182
1766714400,211.182,211.252,211.082,211.168
1766718000,211.169,211.178,210.752,210.763
1766721600,210.76,210.923,210.684,210.828
1766725200,210.831,210.846,210.698,210.794
1766728800,210.794,210.912,210.631,210.814
1766732400,210.815,210.916,210.652,210.838
1766736000,210.842,211.026,210.764,210.986
1766739600,210.99,211.078,210.932,210.998
1766743200,210.996,211.056,210.926,210.964
1766746800,210.96,211.058,210.951,211.058
1766750400,211.06,211.127,211.042,211.113
1766754000,211.111,211.391,211.034,211.305
1766757600,211.304,211.509,211.231,211.459
1766761200,211.46,211.496,211.262,211.29
1766764800,211.288,211.288,211.154,211.264
1766768400,211.267,211.348,211.17,211.292
1766772000,211.292,211.33,211.17,211.274
1766775600,211.272,211.314,211.234,211.286
1766779200,211.285,211.38,211.245,211.32
1766782800,211.326,211.427,211.266,211.352
1766959200,211.316,211.346,211.134,211.234
1766962800,211.2,211.271,211.076,211.212
1766966400,211.212,211.214,210.711,211.102
1766970000,211.102,211.21,211.005,211.17
1766973600,211.171,211.356,211.154,211.304
1766977200,211.302,211.302,211.168,211.224
1766980800,211.224,211.267,210.964,211.024
1766984400,211.024,211.027,210.822,210.878
1766988000,210.886,210.897,210.748,210.808
1766991600,210.811,210.816,210.466,210.481
1766995200,210.482,210.882,210.438,210.751
1766998800,210.753,210.927,210.679,210.894
1767002400,210.892,211.106,210.862,211.012
1767006000,211.012,211.185,210.912,210.976
1767009600,210.974,210.995,210.61,210.776
1767013200,210.774,210.854,210.692,210.815
1767016800,210.814,210.868,210.584,210.816
1767020400,210.818,210.888,210.478,210.524
1767024000,210.52,210.686,210.459,210.647
1767027600,210.64,210.678,210.557,210.626
1767031200,210.626,210.794,210.62,210.76
1767034800,210.759,210.848,210.722,210.754
1767038400,210.755,210.776,210.708,210.77
1767042000,210.767,210.91,210.76,210.866
1767045600,210.807,210.875,210.654,210.685
1767049200,210.713,210.893,210.662,210.73
1767052800,210.731,211.07,210.644,210.988
1767056400,210.986,211.07,210.932,211.046
1767060000,211.042,211.098,210.971,211.054
1767063600,211.055,211.096,211.008,211.046
1767067200,211.048,211.094,210.828,210.872
1767070800,210.875,210.994,210.793,210.89
1767074400,210.893,210.962,210.824,210.904
1767078000,210.897,210.897,210.572,210.662
1767081600,210.663,210.778,210.545,210.714
1767085200,210.714,210.795,210.625,210.722
