t,o,h,l,c
1765990800,1.33897,1.33953,1.33822,1.33872
1765994400,1.3387,1.33948,1.33736,1.3376
1765998000,1.33761,1.33808,1.33727,1.33768
1766001600,1.3377,1.33844,1.33748,1.33785
1766005200,1.33786,1.338,1.33739,1.33746
1766008800,1.3376,1.33815,1.33748,1.33776
1766012400,1.33772,1.33783,1.33731,1.33734
1766016000,1.33735,1.3377,1.33697,1.3376
1766019600,1.3376,1.33791,1.33617,1.33647
1766023200,1.33648,1.33708,1.33642,1.33688
1766026800,1.33688,1.33713,1.33617,1.33646
1766030400,1.33647,1.33692,1.33637,1.33686
1766034000,1.33685,1.33741,1.33668,1.337
1766037600,1.33698,1.3371,1.33626,1.33673
1766041200,1.3367,1.33754,1.33638,1.33662
1766044800,1.33662,1.33736,1.3355,1.33595
1766048400,1.33594,1.33594,1.33411,1.33488
1766052000,1.33484,1.33535,1.33434,1.33526
1766055600,1.33526,1.33586,1.33495,1.33533
1766059200,1.33535,1.33974,1.33482,1.33954
1766062800,1.33954,1.34426,1.33913,1.34278
1766066400,1.34278,1.34466,1.34094,1.34156
1766070000,1.34156,1.34158,1.33862,1.33948
1766073600,1.33948,1.34054,1.33814,1.33862
1766077200,1.33864,1.33869,1.33704,1.33814
1766080800,1.33814,1.33852,1.33753,1.33812
1766084400,1.33812,1.33907,1.338,1.33864
1766088000,1.33862,1.33898,1.33776,1.33782
1766091600,1.33782,1.33829,1.33778,1.33823
1766095200,1.33811,1.3391,1.33787,1.33814
1766098800,1.33815,1.33854,1.33792,1.33836
1766102400,1.33834,1.33858,1.3378,1.33848
1766106000,1.33851,1.33868,1.33788,1.33826
1766109600,1.33824,1.33862,1.33777,1.33792
1766113200,1.33793,1.33822,1.33732,1.33777
1766116800,1.33776,1.33803,1.33696,1.33722
1766120400,1.33724,1.33769,1.33724,1.33757
1766124000,1.33758,1.33856,1.33704,1.33836
1766127600,1.33836,1.33854,1.33631,1.33654
1766131200,1.33654,1.33806,1.33648,1.33741
1766134800,1.3374,1.33877,1.33726,1.33818
1766138400,1.33817,1.33867,1.33742,1.3381
1766142000,1.33812,1.33822,1.33692,1.33724
1766145600,1.33724,1.33789,1.33683,1.33734
1766149200,1.33734,1.33741,1.33576,1.33722
1766152800,1.33724,1.33868,1.33666,1.33704
1766156400,1.337,1.33728,1.33571,1.3362
1766160000,1.33618,1.3378,1.33597,1.33776
1766163600,1.33774,1.33812,1.33692,1.33774
1766167200,1.33774,1.33902,1.3376,1.3386
1766170800,1.33858,1.3392,1.33819,1.33908
1766174400,1.33907,1.33942,1.33736,1.3374
1766178000,1.33743,1.338,1.33727,1.33767
1766354400,1.33784,1.33912,1.3378,1.3378
1766358000,1.33782,1.33845,1.33748,1.3379
1766361600,1.3379,1.33904,1.33785,1.33894
1766365200,1.33896,1.33983,1.33895,1.33958
1766368800,1.33963,1.33999,1.33916,1.33928
1766372400,1.33927,1.33974,1.33917,1.33932
1766376000,1.33931,1.34018,1.33923,1.3399
1766379600,1.3399,1.34012,1.3396,1.33972
1766383200,1.33972,1.34002,1.33919,1.3394
1766386800,1.33941,1.34192,1.33941,1.34138
1766390400,1.34136,1.3424,1.34096,1.342
1766394000,1.34198,1.34247,1.34105,1.34244
1766397600,1.34244,1.34402,1.34244,1.34352
1766401200,1.34352,1.34424,1.34323,1.34388
1766404800,1.34384,1.34422,1.34263,1.34336
1766408400,1.34335,1.34444,1.34316,1.34378
1766412000,1.34378,1.34572,1.34316,1.34504
1766415600,1.34504,1.3459,1.34444,1.3454
1766419200,1.3454,1.34582,1.34469,1.34558
1766422800,1.34558,1.34778,1.34558,1.34709
1766426400,1.34709,1.3471,1.34564,1.3462
1766430000,1.3462,1.3464,1.3454,1.34584
1766433600,1.34586,1.34632,1.34546,1.34578
1766437200,1.34578,1.34628,1.34564,1.34626
1766440800,1.34562,1.34658,1.34562,1.34625
1766444400,1.34626,1.34697,1.34622,1.3468
1766448000,1.34683,1.34764,1.34682,1.34718
1766451600,1.3472,1.34836,1.34695,1.3477
1766455200,1.34769,1.34861,1.34769,1.34826
1766458800,1.34828,1.349,1.34803,1.34891
1766462400,1.3489,1.34924,1.34854,1.34878
1766466000,1.34878,1.34937,1.3487,1.3489
1766469600,1.3489,1.34901,1.34798,1.3481
1766473200,1.3481,1.35032,1.34806,1.35018
1766476800,1.35016,1.35114,1.34962,1.35098
1766480400,1.35098,1.35186,1.3497,1.35056
1766484000,1.35056,1.35175,1.35011,1.35158
1766487600,1.35158,1.35188,1.35032,1.35036
1766491200,1.35035,1.3511,1.35017,1.35024
1766494800,1.35024,1.35128,1.34943,1.34946
1766498400,1.34948,1.35007,1.34832,1.34842
1766502000,1.34842,1.34966,1.34726,1.34838
1766505600,1.34838,1.3488,1.3479,1.34847
1766509200,1.34847,1.34872,1.34711,1.34734
1766512800,1.34733,1.34898,1.34718,1.34895
1766516400,1.34897,1.34976,1.34888,1.34971
1766520000,1.3497,1.35004,1.34942,1.34993
1766523600,1.34994,1.35242,1.34988,1.3518
1766527200,1.35116,1.35241,1.35034,1.35163
1766530800,1.3516,1.35174,1.35101,1.35131
1766534400,1.3513,1.35172,1.35072,1.35148
1766538000,1.35146,1.3532,1.3511,1.35292
1766541600,1.35293,1.35343,1.3527,1.35273
1766545200,1.35276,1.35277,1.35156,1.35165
1766548800,1.35166,1.35167,1.35096,1.35138
1766552400,1.35136,1.35225,1.35128,1.35191
1766556000,1.3519,1.35243,1.35164,1.35208
1766559600,1.35206,1.35234,1.35093,1.35104
1766563200,1.35104,1.35224,1.35027,1.35221
1766566800,1.35222,1.3528,1.35206,1.3522
1766570400,1.35218,1.35239,1.35124,1.35168
1766574000,1.35168,1.35194,1.3511,1.35143
1766577600,1.35144,1.35144,1.35013,1.35037
1766581200,1.35038,1.35096,1.35018,1.35049
1766584800,1.35045,1.35108,1.34967,1.34968
1766588400,1.34966,1.35098,1.3492,1.35072
1766592000,1.35072,1.35108,1.34986,1.35024
1766595600,1.35022,1.3506,1.34928,1.34978
1766599200,1.34978,1.35054,1.34946,1.35021
1766602800,1.3502,1.35022,1.34998,1.35016
1766606400,1.35016,1.3504,1.34996,1.3501
1766610000,1.35009,1.35088,1.34996,1.3507
1766700000,1.35201,1.35211,1.3513,1.35145
1766703600,1.35154,1.35198,1.35015,1.35084
1766707200,1.35082,1.35188,1.3505,1.35099
1766710800,1.35098,1.35228,1.35084,1.35128
1766714400,1.35127,1.35192,1.35109,1.35168
1766718000,1.35168,1.35176,1.3505,1.35058
1766721600,1.35058,1.35084,1.34999,1.35002
1766725200,1.35001,1.35002,1.34868,1.34946
1766728800,1.34947,1.35004,1.34877,1.34897
1766732400,1.34898,1.3491,1.34798,1.34828
1766736000,1.3483,1.34966,1.34774,1.34959
1766739600,1.34956,1.34984,1.34831,1.34854
1766743200,1.34854,1.34951,1.34837,1.34886
1766746800,1.34887,1.34978,1.34886,1.34947
1766750400,1.34948,1.34974,1.34884,1.34966
