t,o,h,l,c
1767373200,156.724,156.784,156.708,156.772
1767376800,156.773,156.948,156.764,156.894
1767380400,156.892,156.956,156.846,156.856
1767384000,156.857,156.914,156.846,156.876
1767387600,156.876,156.89,156.812,156.837
1767564000,156.756,156.83,156.711,156.776
1767567600,156.784,157.028,156.72,157.002
1767571200,157,157.252,156.924,157.146
1767574800,157.147,157.183,156.942,157.014
1767578400,157.016,157.206,156.952,157.149
1767582000,157.15,157.24,157.129,157.234
1767585600,157.236,157.3,157.222,157.282
1767589200,157.282,157.293,157.117,157.184
1767592800,157.186,157.234,157.014,157.034
1767596400,157.032,157.083,156.977,156.993
1767600000,156.992,157.042,156.69,156.833
1767603600,156.832,157.001,156.784,156.928
1767607200,156.927,156.94,156.576,156.605
1767610800,156.604,156.663,156.532,156.624
1767614400,156.624,156.686,156.468,156.649
1767618000,156.65,156.979,156.642,156.824
1767621600,156.824,156.856,156.706,156.746
1767625200,156.748,156.75,156.454,156.58
1767628800,156.58,156.59,156.305,156.326
1767632400,156.325,156.385,156.268,156.332
1767636000,156.332,156.36,156.183,156.188
1767639600,156.186,156.246,156.116,156.231
1767643200,156.231,156.34,156.182,156.34
1767646800,156.34,156.424,156.324,156.404
1767650400,156.377,156.532,156.325,156.523
1767654000,156.524,156.648,156.49,156.617
1767657600,156.616,156.798,156.527,156.536
1767661200,156.536,156.712,156.453,156.454
1767664800,156.453,156.503,156.272,156.31
1767668400,156.31,156.44,156.294,156.36
1767672000,156.361,156.44,156.24,156.382
1767675600,156.383,156.448,156.29,156.43
1767679200,156.43,156.48,156.332,156.372
1767682800,156.372,156.374,156.232,156.336
1767686400,156.336,156.391,156.164,156.322
1767690000,156.32,156.484,156.232,156.378
1767693600,156.378,156.465,156.28,156.448
1767697200,156.448,156.538,156.408,156.452
1767700800,156.451,156.517,156.297,156.5
1767704400,156.499,156.582,156.353,156.371
1767708000,156.371,156.479,156.301,156.408
1767711600,156.408,156.692,156.404,156.578
1767715200,156.577,156.736,156.572,156.707
1767718800,156.706,156.744,156.672,156.692
1767722400,156.691,156.75,156.664,156.738
1767726000,156.738,156.746,156.612,156.63
1767729600,156.63,156.654,156.571,156.652
1767733200,156.652,156.688,156.62,156.663
1767736800,156.634,156.657,156.618,156.633
1767740400,156.632,156.704,156.62,156.664
1767744000,156.663,156.81,156.542,156.636
1767747600,156.635,156.748,156.562,156.72
1767751200,156.721,156.731,156.644,156.648
1767754800,156.648,156.655,156.51,156.563
1767758400,156.564,156.586,156.514,156.54
1767762000,156.54,156.542,156.367,156.387
1767765600,156.388,156.394,156.306,156.343
1767769200,156.342,156.516,156.294,156.486
1767772800,156.486,156.586,156.461,156.528
1767776400,156.527,156.576,156.432,156.464
1767780000,156.464,156.54,156.444,156.532
1767783600,156.53,156.582,156.512,156.515
1767787200,156.514,156.566,156.477,156.511
1767790800,156.512,156.598,156.362,156.419
1767794400,156.418,156.557,156.393,156.412
1767798000,156.433,156.725,156.408,156.682
1767801600,156.682,156.802,156.643,156.734
1767805200,156.731,156.731,156.574,156.62
1767808800,156.621,156.704,156.596,156.697
1767812400,156.696,156.762,156.684,156.744
1767816000,156.744,156.79,156.726,156.778
1767819600,156.778,156.802,156.752,156.757
1767823200,156.748,156.752,156.643,156.689
1767826800,156.691,156.76,156.661,156.7
1767830400,156.7,156.802,156.676,156.789
1767834000,156.788,156.945,156.714,156.913
1767837600,156.912,156.955,156.824,156.838
1767841200,156.838,156.84,156.634,156.719
1767844800,156.718,156.732,156.666,156.693
1767848400,156.695,156.733,156.644,156.672
1767852000,156.671,156.69,156.502,156.582
1767855600,156.579,156.698,156.468,156.47
1767859200,156.47,156.716,156.46,156.708
1767862800,156.708,156.784,156.631,156.746
1767866400,156.746,156.781,156.68,156.681
1767870000,156.68,156.782,156.666,156.762
1767873600,156.764,156.782,156.69,156.724
1767877200,156.724,156.964,156.666,156.964
