t,o,h,l,c
1766102400,1.17248,1.17268,1.17218,1.17265
1766106000,1.17265,1.17288,1.17205,1.17244
1766109600,1.17243,1.17287,1.17212,1.17227
1766113200,1.17228,1.17259,1.17184,1.17213
1766116800,1.17214,1.17228,1.17156,1.1718
1766120400,1.1718,1.17208,1.1718,1.172
1766124000,1.172,1.17216,1.17118,1.17199
1766127600,1.17198,1.17206,1.17033,1.17077
1766131200,1.17077,1.17164,1.17062,1.17126
1766134800,1.17126,1.17179,1.17088,1.17122
1766138400,1.17124,1.17178,1.1709,1.17166
1766142000,1.17165,1.17178,1.17077,1.17113
1766145600,1.17112,1.17153,1.17077,1.17102
1766149200,1.17102,1.17194,1.17024,1.17194
1766152800,1.17194,1.17378,1.1719,1.17264
1766156400,1.17266,1.17282,1.17094,1.17097
1766160000,1.17096,1.1721,1.17084,1.1721
1766163600,1.1721,1.1721,1.17135,1.17192
1766167200,1.17193,1.17273,1.17182,1.172
1766170800,1.172,1.17252,1.17164,1.17236
1766174400,1.17234,1.17257,1.17064,1.17098
1766178000,1.17098,1.17138,1.17062,1.17096
1766354400,1.17196,1.17196,1.17124,1.17144
1766358000,1.17148,1.17164,1.17064,1.17103
1766361600,1.17101,1.17162,1.17095,1.1716
1766365200,1.17162,1.17194,1.17136,1.17172
1766368800,1.17172,1.17194,1.17152,1.17164
1766372400,1.17162,1.17184,1.17136,1.17176
1766376000,1.17176,1.17218,1.17163,1.17202
1766379600,1.17202,1.17221,1.17156,1.17174
1766383200,1.17172,1.17193,1.1713,1.17159
1766386800,1.17158,1.17312,1.1715,1.1729
1766390400,1.1729,1.17384,1.17232,1.17359
1766394000,1.17359,1.17366,1.17274,1.173
1766397600,1.17301,1.1738,1.17291,1.17332
1766401200,1.17332,1.17366,1.17286,1.17334
1766404800,1.17335,1.17434,1.17334,1.17418
1766408400,1.17418,1.17546,1.17418,1.17506
1766412000,1.17507,1.17664,1.17451,1.17602
1766415600,1.176,1.17694,1.17577,1.1764
1766419200,1.1764,1.17642,1.17482,1.17496
1766422800,1.17496,1.17648,1.17491,1.17582
1766426400,1.17582,1.17583,1.17494,1.17529
1766430000,1.1753,1.1756,1.17489,1.17554
1766433600,1.17555,1.1759,1.17522,1.17552
1766437200,1.17552,1.17623,1.17546,1.17619
1766440800,1.1758,1.1763,1.17571,1.17592
1766444400,1.17593,1.17658,1.17591,1.17638
1766448000,1.17637,1.17704,1.1763,1.1769
1766451600,1.1769,1.17761,1.1766,1.1773
1766455200,1.17733,1.17806,1.17726,1.17777
1766458800,1.17778,1.17794,1.17732,1.17765
1766462400,1.17766,1.17793,1.17736,1.17754
1766466000,1.17752,1.17798,1.17744,1.17751
1766469600,1.17753,1.17764,1.17686,1.17713
1766473200,1.17712,1.17814,1.17692,1.17787
1766476800,1.17786,1.17846,1.17754,1.17844
1766480400,1.17845,1.1793,1.17818,1.17928
1766484000,1.17928,1.18004,1.17918,1.1799
1766487600,1.17989,1.18,1.17924,1.17959
1766491200,1.1796,1.18022,1.1789,1.17897
1766494800,1.17896,1.17939,1.17743,1.17748
1766498400,1.17748,1.17795,1.17686,1.17694
1766502000,1.17693,1.17792,1.1764,1.17743
1766505600,1.17742,1.17804,1.17732,1.17757
