t,o,h,l,c
1766430000,1.37434,1.37488,1.37426,1.37474
1766433600,1.37474,1.37541,1.37455,1.37531
1766437200,1.37532,1.37534,1.37425,1.37472
1766440800,1.37519,1.37538,1.37481,1.37532
1766444400,1.37528,1.37536,1.37464,1.375
1766448000,1.375,1.375,1.37425,1.3745
1766451600,1.3745,1.37458,1.37392,1.3741
1766455200,1.3741,1.3741,1.37346,1.37358
1766458800,1.37358,1.37402,1.37341,1.37343
1766462400,1.37342,1.37384,1.37334,1.37374
1766466000,1.37374,1.374,1.37356,1.37396
1766469600,1.37397,1.37433,1.37376,1.37416
1766473200,1.37413,1.37428,1.37328,1.37354
1766476800,1.37356,1.37362,1.37208,1.37209
1766480400,1.37208,1.37209,1.3705,1.37051
1766484000,1.3705,1.37074,1.36981,1.36988
1766487600,1.36986,1.37113,1.36968,1.37086
1766491200,1.37088,1.37098,1.36988,1.37008
1766494800,1.37008,1.37017,1.36885,1.36993
1766498400,1.3699,1.37211,1.36962,1.37203
1766502000,1.372,1.37272,1.37077,1.37108
1766505600,1.37106,1.3717,1.37061,1.3713
1766509200,1.37131,1.37144,1.37004,1.37094
1766512800,1.37094,1.37134,1.36944,1.36951
1766516400,1.36949,1.36956,1.369,1.36942
1766520000,1.36941,1.36984,1.36912,1.3693
1766523600,1.36929,1.36941,1.36862,1.36878
1766527200,1.36904,1.36917,1.36887,1.36912
1766530800,1.36915,1.36924,1.36857,1.36859
1766534400,1.36858,1.36894,1.36844,1.36861
1766538000,1.3686,1.36885,1.36774,1.36776
1766541600,1.36776,1.3681,1.36748,1.36788
1766545200,1.36787,1.36817,1.3677,1.36809
1766548800,1.36808,1.36844,1.36794,1.3684
1766552400,1.36839,1.3684,1.36784,1.36804
1766556000,1.36803,1.36805,1.36759,1.36791
1766559600,1.36792,1.36846,1.36766,1.36839
1766563200,1.3684,1.36884,1.36787,1.36788
1766566800,1.36788,1.36794,1.36726,1.36748
1766570400,1.36746,1.36772,1.36721,1.36726
1766574000,1.36726,1.36742,1.3669,1.36694
1766577600,1.36694,1.36824,1.36664,1.3681
1766581200,1.36807,1.36863,1.36742,1.36754
1766584800,1.36753,1.3679,1.3665,1.36738
1766588400,1.36738,1.36776,1.36668,1.36683
1766592000,1.36683,1.36794,1.36656,1.36734
1766595600,1.36736,1.36803,1.36695,1.36714
1766599200,1.36717,1.36764,1.36676,1.36712
1766602800,1.36712,1.36762,1.36698,1.36756
1766606400,1.3676,1.3678,1.36747,1.36752
1766610000,1.36754,1.36796,1.3674,1.36785
1766700000,1.36825,1.36825,1.36732,1.36752
1766703600,1.36754,1.36764,1.3672,1.36742
1766707200,1.36743,1.36758,1.36701,1.36725
1766710800,1.36724,1.36767,1.36697,1.36757
1766714400,1.36758,1.36764,1.36702,1.36722
1766718000,1.36721,1.368,1.36718,1.36792
1766721600,1.36792,1.3682,1.36783,1.36796
1766725200,1.36795,1.36816,1.36746,1.36756
1766728800,1.36755,1.36761,1.36698,1.3673
1766732400,1.36732,1.36768,1.36662,1.36765
1766736000,1.36764,1.36809,1.36724,1.36732
1766739600,1.36734,1.36828,1.36725,1.36826
1766743200,1.36828,1.3685,1.3679,1.36833
1766746800,1.36834,1.36834,1.36786,1.36802
1766750400,1.36802,1.36852,1.3679,1.36829
1766754000,1.3683,1.3683,1.36494,1.36546
1766757600,1.36546,1.3656,1.36454,1.36528
1766761200,1.36528,1.36592,1.36426,1.36577
1766764800,1.36576,1.36734,1.36548,1.36658
1766768400,1.36656,1.36727,1.36637,1.36688
1766772000,1.36687,1.36724,1.36668,1.36706
1766775600,1.36705,1.36748,1.3669,1.36717
1766779200,1.36715,1.3673,1.36676,1.367
1766782800,1.36697,1.36766,1.3668,1.36714
1766959200,1.36649,1.36756,1.36608,1.36742
1766962800,1.36731,1.3676,1.36636,1.36688
1766966400,1.36687,1.36739,1.3666,1.3668
1766970000,1.36678,1.36696,1.3662,1.36624
1766973600,1.36623,1.36683,1.366,1.36637
1766977200,1.3664,1.36648,1.36576,1.36606
1766980800,1.36606,1.36674,1.36604,1.3667
1766984400,1.36671,1.36742,1.36671,1.36739
1766988000,1.36741,1.36822,1.36714,1.368
1766991600,1.36799,1.3688,1.3677,1.36874
1766995200,1.36874,1.3697,1.368,1.36842
1766998800,1.3684,1.36902,1.36766,1.36877
1767002400,1.36878,1.36904,1.36803,1.36904
1767006000,1.36904,1.36953,1.36896,1.36946
1767009600,1.36949,1.37014,1.3693,1.36954
1767013200,1.36954,1.36966,1.36806,1.36876
1767016800,1.36876,1.36975,1.36633,1.36782
1767020400,1.36782,1.36984,1.36698,1.36699
1767024000,1.367,1.36844,1.36654,1.36822
1767027600,1.36822,1.36943,1.36813,1.36911
1767031200,1.3691,1.36952,1.3689,1.36908
1767034800,1.36909,1.36924,1.36826,1.3684
1767038400,1.36844,1.3698,1.36828,1.36964
1767042000,1.36965,1.36988,1.36866,1.36888
1767045600,1.369,1.3692,1.36868,1.36898
1767049200,1.36898,1.36906,1.36874,1.36878
1767052800,1.3688,1.36958,1.3688,1.36914
1767056400,1.36916,1.36928,1.36845,1.36845
1767060000,1.36844,1.36907,1.36837,1.36879
1767063600,1.3688,1.36899,1.36849,1.36882
1767067200,1.36882,1.36893,1.36845,1.36859
1767070800,1.36858,1.36876,1.36832,1.36867
1767074400,1.36866,1.36877,1.36829,1.36846
1767078000,1.36846,1.36877,1.36834,1.36835
1767081600,1.36834,1.3692,1.36814,1.36873
1767085200,1.36872,1.36903,1.3679,1.3685
1767088800,1.36848,1.36882,1.36825,1.36873
1767092400,1.36872,1.36997,1.36869,1.3699
1767096000,1.36991,1.37086,1.3698,1.37048
1767099600,1.37049,1.37051,1.36925,1.37041
1767103200,1.37042,1.37068,1.3697,1.37016
1767106800,1.37014,1.3709,1.36816,1.36832
1767110400,1.36833,1.3688,1.36804,1.36806
1767114000,1.36807,1.36882,1.36798,1.36863
1767117600,1.36864,1.36932,1.36832,1.36915
1767121200,1.36914,1.36986,1.36898,1.36965
1767124800,1.36962,1.36994,1.36916,1.36989
1767128400,1.36988,1.36996,1.36944,1.36968
1767132000,1.3696,1.36975,1.36951,1.36972
1767135600,1.36967,1.36981,1.36944,1.36958
1767139200,1.36954,1.36994,1.36934,1.3696
1767142800,1.3696,1.36986,1.36923,1.36964
1767146400,1.36963,1.37016,1.3696,1.36981
1767150000,1.36982,1.37007,1.36958,1.36972
1767153600,1.36972,1.36986,1.36963,1.36981
1767157200,1.36982,1.37046,1.36964,1.37017
1767160800,1.37016,1.37056,1.37002,1.3701
1767164400,1.3701,1.37102,1.3701,1.37042
1767168000,1.37043,1.371,1.3702,1.37086
1767171600,1.37086,1.37087,1.36995,1.37032
1767175200,1.37032,1.37125,1.36994,1.37099
1767178800,1.37098,1.37106,1.37036,1.37052
1767182400,1.37052,1.37052,1.36936,1.36937
1767186000,1.36936,1.37026,1.36886,1.3698
1767189600,1.3698,1.37042,1.36926,1.36976
1767193200,1.36976,1.3727,1.36976,1.37076
1767196800,1.37076,1.37209,1.37057,1.37144
1767200400,1.37142,1.37249,1.37132,1.37208
1767204000,1.3721,1.37281,1.37196,1.37244
1767207600,1.37242,1.37243,1.37159,1.37208
1767211200,1.37208,1.37269,1.37146,1.37256
1767214800,1.37259,1.37284,1.37193,1.37254
1767304800,1.3722,1.37232,1.37193,1.37215
1767308400,1.37213,1.37226,1.37172,1.37178
1767312000,1.37178,1.37192,1.37114,1.37123
1767315600,1.37122,1.37122,1.3707,1.37086
1767319200,1.37084,1.37104,1.37048,1.37091
1767322800,1.37092,1.37102,1.37065,1.37092
1767326400,1.3709,1.37171,1.37086,1.37156
1767330000,1.37158,1.37178,1.37131,1.37165
1767333600,1.37168,1.3719,1.37146,1.37156
1767337200,1.37156,1.37162,1.37006,1.3702
1767340800,1.37022,1.37179,1.37016,1.3715
1767344400,1.37151,1.37224,1.37134,1.37214
1767348000,1.37213,1.37254,1.37199,1.37215
1767351600,1.37214,1.37299,1.37176,1.37266
1767355200,1.37265,1.37366,1.37226,1.37346
1767358800,1.37346,1.37417,1.37233,1.37398
1767362400,1.374,1.37476,1.37362,1.37424
1767366000,1.37424,1.37436,1.37211,1.37242
1767369600,1.37244,1.37409,1.37235,1.3739
1767373200,1.37392,1.3742,1.37246,1.37404
1767376800,1.37404,1.37478,1.3739,1.37448
1767380400,1.37447,1.37454,1.37326,1.37336
1767384000,1.37337,1.37377,1.37316,1.37331
1767387600,1.3733,1.37355,1.37271,1.37322
1767564000,1.37435,1.37442,1.37361,1.37418
1767567600,1.37402,1.3748,1.37386,1.37475
1767571200,1.37475,1.37486,1.37413,1.37466
1767574800,1.37467,1.37488,1.37432,1.3747
1767578400,1.37471,1.3754,1.3746,1.37502
1767582000,1.37503,1.37688,1.37496,1.37682
1767585600,1.37683,1.3778,1.37665,1.37709
1767589200,1.37708,1.37734,1.37674,1.3769
1767592800,1.3769,1.37728,1.37652,1.37669
1767596400,1.37668,1.37818,1.37648,1.37782
1767600000,1.37782,1.37845,1.37712,1.37832
1767603600,1.37834,1.3789,1.37778,1.3778
1767607200,1.3778,1.3778,1.37666,1.37678
1767610800,1.37677,1.37698,1.37628,1.37671
1767614400,1.3767,1.37842,1.37622,1.3783
1767618000,1.37828,1.38154,1.37828,1.37988
1767621600,1.37988,1.38002,1.37782,1.37872
1767625200,1.3787,1.37872,1.37456,1.37487
1767628800,1.37488,1.37586,1.37452,1.3758
1767632400,1.37579,1.3765,1.37561,1.37617
1767636000,1.37616,1.37644,1.37554,1.37611
1767639600,1.37612,1.37628,1.37551,1.37568
1767643200,1.37568,1.37671,1.37565,1.37628
1767646800,1.37628,1.37741,1.37606,1.37734
1767650400,1.3771,1.37729,1.37706,1.37717
1767654000,1.37716,1.37739,1.37694,1.37736
1767657600,1.37736,1.37764,1.37721,1.37723
1767661200,1.37722,1.37752,1.37643,1.37644
1767664800,1.37644,1.37703,1.37617,1.3762
1767668400,1.3762,1.37668,1.37608,1.37665
1767672000,1.37664,1.37675,1.37605,1.37641
1767675600,1.37643,1.3767,1.37607,1.37643
1767679200,1.37642,1.37662,1.37557,1.37571
1767682800,1.3757,1.37661,1.37517,1.37632
1767686400,1.37634,1.37656,1.37541,1.37624
1767690000,1.37624,1.37703,1.37614,1.37686
1767693600,1.37686,1.37716,1.37606,1.37629
1767697200,1.3763,1.37742,1.37629,1.37706
1767700800,1.37706,1.37855,1.3765,1.37812
1767704400,1.37812,1.37823,1.37708,1.37714
1767708000,1.37712,1.37736,1.3757,1.3766
1767711600,1.37662,1.37932,1.37656,1.3786
1767715200,1.3786,1.37968,1.37828,1.37909
1767718800,1.37909,1.37954,1.37868,1.37904
1767722400,1.37904,1.37992,1.37887,1.3798
1767726000,1.37976,1.38077,1.37969,1.3805
1767729600,1.3805,1.381,1.38015,1.38098
1767733200,1.38099,1.38171,1.3807,1.38146
1767736800,1.38128,1.38144,1.38108,1.38136
1767740400,1.38137,1.38169,1.38125,1.38164
1767744000,1.38161,1.38249,1.38151,1.38188
1767747600,1.38186,1.38252,1.38154,1.38202
1767751200,1.38202,1.38206,1.38106,1.38146
1767754800,1.38146,1.38168,1.38124,1.38164
1767758400,1.38163,1.38166,1.38117,1.38122
1767762000,1.38122,1.38164,1.38107,1.38134
1767765600,1.38134,1.38178,1.38118,1.38135
1767769200,1.38136,1.38261,1.38132,1.38252
1767772800,1.38252,1.38271,1.38173,1.38175
